127.0.0.1 - - [23/Mar/2024:23:52:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:02 +0530] "GET /Ebook-App/ HTTP/1.1" 200 11684
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:02 +0530] "GET /Ebook-App/book/book2.jpeg HTTP/1.1" 200 13472
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:02 +0530] "GET /Ebook-App/all_component/style.css HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:03 +0530] "GET /Ebook-App/img/book1.jpg HTTP/1.1" 200 273591
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:06 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4685
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:22 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:22 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 4389
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:22 +0530] "GET /Ebook-App/admin/style.css HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:26 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 4989
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:26 +0530] "GET /Ebook-App/book/book1.jpg HTTP/1.1" 200 273591
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:26 +0530] "GET /Ebook-App/book/slide%20image.jpeg HTTP/1.1" 200 13313
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:26 +0530] "GET /Ebook-App/book/book6.jpeg HTTP/1.1" 200 11156
0:0:0:0:0:0:0:1 - - [23/Mar/2024:23:52:33 +0530] "GET /Ebook-App/admin/edit_books.jsp HTTP/1.1" 200 4813
